Sample_1	Site_1	Mass_1	C1	H1	O1	N1	S1	P1	MolForm_1	El_comp_1	Class_1
NOM_before	NOM	112.040402	5	6	2	1	0	0	C5H6NO2	CHON	Lignins
NOM_before	NOM	116.035317	4	6	3	1	0	0	C4H6NO3	CHON	Carbohydrates
NOM_before	NOM	118.033209	4	8	1	1	1	0	C4H8NOS	CHONS	Lignins
NOM_before	NOM	121.029503	7	5	2	0	0	0	C7H5O2	CHO	Lignins
NOM_before	NOM	129.996823	4	4	2	1	1	0	C4H4NO2S	CHONS	Lignins
NOM_before	NOM	131.987321	2	2	2	3	1	0	C2H2N3O2S	CHONS	Carbohydrates
NOM_before	NOM	135.045153	8	7	2	0	0	0	C8H7O2	CHO	Lignins
NOM_before	NOM	137.024418	7	5	3	0	0	0	C7H5O3	CHO	Lignins
NOM_before	NOM	138.0309	5	4	2	3	0	0	C5H4N3O2	CHON	Lignins
NOM_before	NOM	141.009436	8	1	1	2	0	0	C8HN2O	CHON	Condensed Aromatics
NOM_before	NOM	143.976088	4	2	3	1	1	0	C4H2NO3S	CHONS	Tannins
NOM_before	NOM	144.045487	9	6	1	1	0	0	C9H6NO	CHON	Lignins
NOM_before	NOM	145.050632	6	9	4	0	0	0	C6H9O4	CHO	Proteins
NOM_before	NOM	145.06926	7	13	1	0	1	0	C7H13OS	CHOS	Lipids
NOM_before	NOM	146.024752	8	4	2	1	0	0	C8H4NO2	CHON	Condensed Aromatics
NOM_before	NOM	147.045153	9	7	2	0	0	0	C9H7O2	CHO	Lignins
NOM_before	NOM	148.01525	6	2	2	3	0	0	C6H2N3O2	CHON	Condensed Aromatics
NOM_before	NOM	149.060803	9	9	2	0	0	0	C9H9O2	CHO	Lignins
NOM_before	NOM	149.097189	10	13	1	0	0	0	C10H13O	CHO	Lignins
NOM_before	NOM	149.097189	10	13	1	0	0	0	C10H13O	CHO	Lignins
NOM_before	NOM	150.001909	7	4	1	1	1	0	C7H4NOS	CHONS	Lignins
NOM_before	NOM	151.040068	8	7	3	0	0	0	C8H7O3	CHO	Lignins
NOM_before	NOM	152.035317	7	6	3	1	0	0	C7H6NO3	CHON	Lignins
NOM_before	NOM	153.034588	11	5	1	0	0	0	C11H5O	CHO	Condensed Aromatics
NOM_before	NOM	153.055718	8	9	3	0	0	0	C8H9O3	CHO	Lignins
NOM_before	NOM	153.092103	9	13	2	0	0	0	C9H13O2	CHO	Lipids
NOM_before	NOM	154.014581	6	4	4	1	0	0	C6H4NO4	CHON	Lignins
NOM_before	NOM	155.071368	8	11	3	0	0	0	C8H11O3	CHO	Proteins
NOM_before	NOM	156.030231	6	6	4	1	0	0	C6H6NO4	CHON	Lignins
NOM_before	NOM	156.045487	10	6	1	1	0	0	C10H6NO	CHON	Lignins
NOM_before	NOM	157.050632	7	9	4	0	0	0	C7H9O4	CHO	Lignins
NOM_before	NOM	157.065888	11	9	1	0	0	0	C11H9O	CHO	
NOM_before	NOM	157.087018	8	13	3	0	0	0	C8H13O3	CHO	Proteins
NOM_before	NOM	159.066282	7	11	4	0	0	0	C7H11O4	CHO	Proteins
NOM_before	NOM	160.040402	9	6	2	1	0	0	C9H6NO2	CHON	Lignins
NOM_before	NOM	161.024418	9	5	3	0	0	0	C9H5O3	CHO	Condensed Aromatics
NOM_before	NOM	161.035651	8	5	2	2	0	0	C8H5N2O2	CHON	Lignins
NOM_before	NOM	161.060803	10	9	2	0	0	0	C10H9O2	CHO	Lignins
NOM_before	NOM	162.019667	8	4	3	1	0	0	C8H4NO3	CHON	Condensed Aromatics
NOM_before	NOM	163.040068	9	7	3	0	0	0	C9H7O3	CHO	Lignins
NOM_before	NOM	163.076453	10	11	2	0	0	0	C10H11O2	CHO	Lignins
NOM_before	NOM	164.035317	8	6	3	1	0	0	C8H6NO3	CHON	Lignins
NOM_before	NOM	165.019332	8	5	4	0	0	0	C8H5O4	CHO	Lignins
NOM_before	NOM	165.055718	9	9	3	0	0	0	C9H9O3	CHO	Lignins
NOM_before	NOM	165.092103	10	13	2	0	0	0	C10H13O2	CHO	Lignins
NOM_before	NOM	166.050967	8	8	3	1	0	0	C8H8NO3	CHON	Lignins
NOM_before	NOM	167.034982	8	7	4	0	0	0	C8H7O4	CHO	Lignins
NOM_before	NOM	167.071368	9	11	3	0	0	0	C9H11O3	CHO	Lignins
NOM_before	NOM	167.976088	6	2	3	1	1	0	C6H2NO3S	CHONS	Condensed Aromatics
NOM_before	NOM	168.020335	9	2	1	3	0	0	C9H2N3O	CHON	Condensed Aromatics
NOM_before	NOM	169.050632	8	9	4	0	0	0	C8H9O4	CHO	Lignins
NOM_before	NOM	169.065888	12	9	1	0	0	0	C12H9O	CHO	
NOM_before	NOM	169.087018	9	13	3	0	0	0	C9H13O3	CHO	Proteins
NOM_before	NOM	170.039357	6	8	1	3	1	0	C6H8N3OS	CHONS	Lipids
NOM_before	NOM	170.061137	11	8	1	1	0	0	C11H8NO	CHON	
NOM_before	NOM	171.045153	11	7	2	0	0	0	C11H7O2	CHO	Lignins
NOM_before	NOM	171.056386	10	7	1	2	0	0	C10H7N2O	CHON	Lignins
NOM_before	NOM	171.066282	8	11	4	0	0	0	C8H11O4	CHO	Proteins
NOM_before	NOM	171.081539	12	11	1	0	0	0	C12H11O	CHO	
NOM_before	NOM	171.102668	9	15	3	0	0	0	C9H15O3	CHO	Proteins
NOM_before	NOM	172.040402	10	6	2	1	0	0	C10H6NO2	CHON	Lignins
NOM_before	NOM	172.999265	8	1	3	2	0	0	C8HN2O3	CHON	Condensed Aromatics
