Sample_1	Site_1	Mass_1	C1	H1	O1	N1	S1	P1	MolForm_1	El_comp_1	Class_1
NOM_after	NOM	169.065888	12	9	1	0	0	0	C12H9O	CHO	
NOM_after	NOM	169.087018	9	13	3	0	0	0	C9H13O3	CHO	Proteins
NOM_after	NOM	170.061137	11	8	1	1	0	0	C11H8NO	CHON	
NOM_after	NOM	170.975753	6	3	4	0	1	0	C6H3O4S	CHOS	Condensed Aromatics
NOM_after	NOM	171.045153	11	7	2	0	0	0	C11H7O2	CHO	Lignins
NOM_after	NOM	171.066282	8	11	4	0	0	0	C8H11O4	CHO	Proteins
NOM_after	NOM	171.081539	12	11	1	0	0	0	C12H11O	CHO	
NOM_after	NOM	171.102668	9	15	3	0	0	0	C9H15O3	CHO	Proteins
NOM_after	NOM	172.040402	10	6	2	1	0	0	C10H6NO2	CHON	Lignins
NOM_after	NOM	172.051635	9	6	1	3	0	0	C9H6N3O	CHON	Lignins
NOM_after	NOM	173.024418	10	5	3	0	0	0	C10H5O3	CHO	Condensed Aromatics
NOM_after	NOM	173.060803	11	9	2	0	0	0	C11H9O2	CHO	Lignins
NOM_after	NOM	173.081932	8	13	4	0	0	0	C8H13O4	CHO	Proteins
NOM_after	NOM	173.118318	9	17	3	0	0	0	C9H17O3	CHO	Proteins
NOM_after	NOM	174.056052	10	8	2	1	0	0	C10H8NO2	CHON	Lignins
NOM_after	NOM	174.095809	8	16	1	1	1	0	C8H16NOS	CHONS	
NOM_after	NOM	175.040068	10	7	3	0	0	0	C10H7O3	CHO	Lignins
NOM_after	NOM	175.051301	9	7	2	2	0	0	C9H7N2O2	CHON	Lignins
NOM_after	NOM	175.076453	11	11	2	0	0	0	C11H11O2	CHO	Lignins
NOM_after	NOM	175.079824	8	15	2	0	1	0	C8H15O2S	CHOS	Lipids
NOM_after	NOM	176.002302	5	6	4	1	1	0	C5H6NO4S	CHONS	Tannins
NOM_after	NOM	176.035317	9	6	3	1	0	0	C9H6NO3	CHON	Lignins
NOM_after	NOM	177.001574	9	5	2	0	1	0	C9H5O2S	CHOS	Condensed Aromatics
NOM_after	NOM	177.019332	9	5	4	0	0	0	C9H5O4	CHO	Condensed Aromatics
NOM_after	NOM	177.030566	8	5	3	2	0	0	C8H5N2O3	CHON	Lignins
NOM_after	NOM	177.033937	5	9	3	2	1	0	C5H9N2O3S	CHONS	Proteins
NOM_after	NOM	177.055718	10	9	3	0	0	0	C10H9O3	CHO	Lignins
NOM_after	NOM	177.066951	9	9	2	2	0	0	C9H9N2O2	CHON	Lignins
NOM_after	NOM	177.092103	11	13	2	0	0	0	C11H13O2	CHO	Lignins
NOM_after	NOM	178.050967	9	8	3	1	0	0	C9H8NO3	CHON	Lignins
NOM_after	NOM	179.034982	9	7	4	0	0	0	C9H7O4	CHO	Lignins
NOM_after	NOM	179.050238	13	7	1	0	0	0	C13H7O	CHO	Condensed Aromatics
NOM_after	NOM	179.071368	10	11	3	0	0	0	C10H11O3	CHO	Lignins
NOM_after	NOM	180.030231	8	6	4	1	0	0	C8H6NO4	CHON	Lignins
NOM_after	NOM	180.045487	12	6	1	1	0	0	C12H6NO	CHON	Condensed Aromatics
NOM_after	NOM	180.066617	9	10	3	1	0	0	C9H10NO3	CHON	Lignins
NOM_after	NOM	181.014247	8	5	5	0	0	0	C8H5O5	CHO	Lignins
NOM_after	NOM	181.050632	9	9	4	0	0	0	C9H9O4	CHO	Lignins
NOM_after	NOM	181.065888	13	9	1	0	0	0	C13H9O	CHO	
NOM_after	NOM	181.087018	10	13	3	0	0	0	C10H13O3	CHO	Lignins
NOM_after	NOM	182.009496	7	4	5	1	0	0	C7H4NO5	CHON	Tannins
NOM_after	NOM	183.012139	8	7	3	0	1	0	C8H7O3S	CHOS	Lignins
NOM_after	NOM	183.066282	9	11	4	0	0	0	C9H11O4	CHO	Lignins
NOM_after	NOM	183.102668	10	15	3	0	0	0	C10H15O3	CHO	Proteins
NOM_after	NOM	184.991403	7	5	4	0	1	0	C7H5O4S	CHOS	Lignins
NOM_after	NOM	185.035651	10	5	2	2	0	0	C10H5N2O2	CHON	Condensed Aromatics
NOM_after	NOM	185.060803	12	9	2	0	0	0	C12H9O2	CHO	Lignins
NOM_after	NOM	185.064174	9	13	2	0	1	0	C9H13O2S	CHOS	Lipids
NOM_after	NOM	185.081932	9	13	4	0	0	0	C9H13O4	CHO	Proteins
NOM_after	NOM	185.118318	10	17	3	0	0	0	C10H17O3	CHO	Proteins
NOM_after	NOM	186.019667	10	4	3	1	0	0	C10H4NO3	CHON	Condensed Aromatics
NOM_after	NOM	186.056052	11	8	2	1	0	0	C11H8NO2	CHON	Lignins
NOM_after	NOM	187.040068	11	7	3	0	0	0	C11H7O3	CHO	Lignins
NOM_after	NOM	187.051301	10	7	2	2	0	0	C10H7N2O2	CHON	Lignins
NOM_after	NOM	187.061197	8	11	5	0	0	0	C8H11O5	CHO	Proteins
NOM_after	NOM	187.076453	12	11	2	0	0	0	C12H11O2	CHO	Lignins
NOM_after	NOM	187.097583	9	15	4	0	0	0	C9H15O4	CHO	Proteins
NOM_after	NOM	187.133968	10	19	3	0	0	0	C10H19O3	CHO	Proteins
NOM_after	NOM	188.035317	10	6	3	1	0	0	C10H6NO3	CHON	Lignins
NOM_after	NOM	188.071702	11	10	2	1	0	0	C11H10NO2	CHON	Lignins
NOM_after	NOM	189.019332	10	5	4	0	0	0	C10H5O4	CHO	Condensed Aromatics
NOM_after	NOM	189.030566	9	5	3	2	0	0	C9H5N2O3	CHON	Condensed Aromatics
NOM_after	NOM	189.033937	6	9	3	2	1	0	C6H9N2O3S	CHONS	Proteins
NOM_after	NOM	189.055718	11	9	3	0	0	0	C11H9O3	CHO	Lignins
NOM_after	NOM	189.076847	8	13	5	0	0	0	C8H13O5	CHO	Proteins
NOM_after	NOM	189.092103	12	13	2	0	0	0	C12H13O2	CHO	Lignins
NOM_after	NOM	190.014581	9	4	4	1	0	0	C9H4NO4	CHON	Condensed Aromatics
NOM_after	NOM	190.050967	10	8	3	1	0	0	C10H8NO3	CHON	Lignins
NOM_after	NOM	190.998597	9	3	5	0	0	0	C9H3O5	CHO	Condensed Aromatics
NOM_after	NOM	191.034982	10	7	4	0	0	0	C10H7O4	CHO	Lignins
NOM_after	NOM	191.046216	9	7	3	2	0	0	C9H7N2O3	CHON	Lignins
NOM_after	NOM	191.071368	11	11	3	0	0	0	C11H11O3	CHO	Lignins
NOM_after	NOM	192.030231	9	6	4	1	0	0	C9H6NO4	CHON	Lignins
NOM_after	NOM	192.066617	10	10	3	1	0	0	C10H10NO3	CHON	Lignins
NOM_after	NOM	192.087746	7	14	5	1	0	0	C7H14NO5	CHON	Carbohydrates
NOM_after	NOM	193.014247	9	5	5	0	0	0	C9H5O5	CHO	Condensed Aromatics
NOM_after	NOM	193.050632	10	9	4	0	0	0	C10H9O4	CHO	Lignins
NOM_after	NOM	193.065888	14	9	1	0	0	0	C14H9O	CHO	
NOM_after	NOM	193.087018	11	13	3	0	0	0	C11H13O3	CHO	Lignins
NOM_after	NOM	194.045881	9	8	4	1	0	0	C9H8NO4	CHON	Lignins
NOM_after	NOM	194.061137	13	8	1	1	0	0	C13H8NO	CHON	Condensed Aromatics
NOM_after	NOM	194.082267	10	12	3	1	0	0	C10H12NO3	CHON	Lignins
NOM_after	NOM	195.029897	9	7	5	0	0	0	C9H7O5	CHO	Lignins
NOM_after	NOM	195.045153	13	7	2	0	0	0	C13H7O2	CHO	Condensed Aromatics
NOM_after	NOM	195.056386	12	7	1	2	0	0	C12H7N2O	CHON	Condensed Aromatics
NOM_after	NOM	195.066282	10	11	4	0	0	0	C10H11O4	CHO	Lignins
NOM_after	NOM	195.081539	14	11	1	0	0	0	C14H11O	CHO	
NOM_after	NOM	195.102668	11	15	3	0	0	0	C11H15O3	CHO	Lignins
NOM_after	NOM	195.139053	12	19	2	0	0	0	C12H19O2	CHO	Lipids
NOM_after	NOM	196.025146	8	6	5	1	0	0	C8H6NO5	CHON	Lignins
NOM_after	NOM	196.040402	12	6	2	1	0	0	C12H6NO2	CHON	Condensed Aromatics
NOM_after	NOM	197.009161	8	5	6	0	0	0	C8H5O6	CHO	Tannins
NOM_after	NOM	197.020395	7	5	5	2	0	0	C7H5N2O5	CHON	Tannins
NOM_after	NOM	197.024418	12	5	3	0	0	0	C12H5O3	CHO	Condensed Aromatics
NOM_after	NOM	197.045547	9	9	5	0	0	0	C9H9O5	CHO	Lignins
NOM_after	NOM	197.060803	13	9	2	0	0	0	C13H9O2	CHO	Lignins
NOM_after	NOM	197.081932	10	13	4	0	0	0	C10H13O4	CHO	Lignins
NOM_after	NOM	197.118318	11	17	3	0	0	0	C11H17O3	CHO	Lipids
NOM_after	NOM	197.986652	7	4	4	1	1	0	C7H4NO4S	CHONS	Lignins
NOM_after	NOM	198.00441	7	4	6	1	0	0	C7H4NO6	CHON	Tannins
NOM_after	NOM	198.056052	12	8	2	1	0	0	C12H8NO2	CHON	Lignins
NOM_after	NOM	199.007053	8	7	4	0	1	0	C8H7O4S	CHOS	Lignins
NOM_after	NOM	199.040068	12	7	3	0	0	0	C12H7O3	CHO	Condensed Aromatics
NOM_after	NOM	199.061197	9	11	5	0	0	0	C9H11O5	CHO	Lignins
NOM_after	NOM	199.076453	13	11	2	0	0	0	C13H11O2	CHO	Lignins
NOM_after	NOM	199.097583	10	15	4	0	0	0	C10H15O4	CHO	Proteins
NOM_after	NOM	199.112839	14	15	1	0	0	0	C14H15O	CHO	
NOM_after	NOM	199.133968	11	19	3	0	0	0	C11H19O3	CHO	Lipids
NOM_after	NOM	199.170354	12	23	2	0	0	0	C12H23O2	CHO	Lipids
NOM_after	NOM	200.035317	11	6	3	1	0	0	C11H6NO3	CHON	Condensed Aromatics
NOM_after	NOM	200.071702	12	10	2	1	0	0	C12H10NO2	CHON	Lignins
NOM_after	NOM	201.019332	11	5	4	0	0	0	C11H5O4	CHO	Condensed Aromatics
NOM_after	NOM	201.022704	8	9	4	0	1	0	C8H9O4S	CHOS	Lignins
NOM_after	NOM	201.040462	8	9	6	0	0	0	C8H9O6	CHO	Tannins
NOM_after	NOM	201.055718	12	9	3	0	0	0	C12H9O3	CHO	Lignins
NOM_after	NOM	201.076847	9	13	5	0	0	0	C9H13O5	CHO	Proteins
NOM_after	NOM	201.092103	13	13	2	0	0	0	C13H13O2	CHO	Lignins
NOM_after	NOM	201.113233	10	17	4	0	0	0	C10H17O4	CHO	Proteins
NOM_after	NOM	201.149618	11	21	3	0	0	0	C11H21O3	CHO	Lipids
NOM_after	NOM	202.050967	11	8	3	1	0	0	C11H8NO3	CHON	Lignins
NOM_after	NOM	202.087352	12	12	2	1	0	0	C12H12NO2	CHON	Lignins
NOM_after	NOM	203.034982	11	7	4	0	0	0	C11H7O4	CHO	Lignins
NOM_after	NOM	203.046216	10	7	3	2	0	0	C10H7N2O3	CHON	Lignins
NOM_after	NOM	203.071368	12	11	3	0	0	0	C12H11O3	CHO	Lignins
NOM_after	NOM	203.092497	9	15	5	0	0	0	C9H15O5	CHO	Proteins
NOM_after	NOM	203.107753	13	15	2	0	0	0	C13H15O2	CHO	Lignins
